achiote seeds,"citrus (e.g., sour orange)"
achiote seeds,"game birds (e.g., duck, quail)"
achiote seeds,"mexican cuisine, esp. yucatán oil"
achiote seeds,"shellfish, e.g., lobster, shrimp"
afghan cuisine,"fruits, esp. dried"
afghan cuisine,"nuts, e.g., almonds"
african cuisine (see also ethiopian and moroccan,bananas
african cuisine (see also ethiopian and moroccan,bell peppers
african cuisine (see also ethiopian and moroccan,braised dishes
african cuisine (see also ethiopian and moroccan,chicken
african cuisine (see also ethiopian and moroccan,"chile peppers, esp. west african"
african cuisine (see also ethiopian and moroccan,coconuts
african cuisine (see also ethiopian and moroccan,corn
african cuisine (see also ethiopian and moroccan,"fish, esp. coastal"
african cuisine (see also ethiopian and moroccan,"fruits, esp. tropical"
african cuisine (see also ethiopian and moroccan,garlic
african cuisine (see also ethiopian and moroccan,goat
african cuisine (see also ethiopian and moroccan,"greens, esp. steamed or stewed"
african cuisine (see also ethiopian and moroccan,mangoes
african cuisine (see also ethiopian and moroccan,melons
african cuisine (see also ethiopian and moroccan,okra
african cuisine (see also ethiopian and moroccan,onions
african cuisine (see also ethiopian and moroccan,papayas
african cuisine (see also ethiopian and moroccan,peanuts
african cuisine (see also ethiopian and moroccan,"peas, esp. black-eyed"
african cuisine (see also ethiopian and moroccan,plantains
african cuisine (see also ethiopian and moroccan,soups
african cuisine (see also ethiopian and moroccan,"stews, esp. meat or vegetable"
african cuisine (see also ethiopian and moroccan,sweet potatoes
african cuisine (see also ethiopian and moroccan,tomatoes
african cuisine (see also ethiopian and moroccan,watermelon
african cuisine (see also ethiopian and moroccan,"yams, esp. west african"
african cuisine (north) (see also moroccan cuisine),bell peppers
african cuisine (north) (see also moroccan cuisine),braised dishes
african cuisine (north) (see also moroccan cuisine),chicken
african cuisine (north) (see also moroccan cuisine),chickpeas
african cuisine (north) (see also moroccan cuisine),couscous
african cuisine (north) (see also moroccan cuisine),cucumbers
african cuisine (north) (see also moroccan cuisine),cumin
african cuisine (north) (see also moroccan cuisine),eggplant
african cuisine (north) (see also moroccan cuisine),fish
african cuisine (north) (see also moroccan cuisine),garlic
african cuisine (north) (see also moroccan cuisine),lamb
african cuisine (north) (see also moroccan cuisine),mint
african cuisine (north) (see also moroccan cuisine),parsley
african cuisine (north) (see also moroccan cuisine),rice
african cuisine (north) (see also moroccan cuisine),stewed dishes
african cuisine (north) (see also moroccan cuisine),tomatoes
african cuisine (north) (see also moroccan cuisine),wheat
african cuisine (north) (see also moroccan cuisine),flavor affinities
african cuisine (north) (see also moroccan cuisine),"cumin + garlic + mint, esp. northeast africa"
african cuisine (south),beans
african cuisine (south),carrots
african cuisine (south),chile peppers
african cuisine (south),cinnamon
african cuisine (south),cloves
african cuisine (south),fenugreek
african cuisine (south),garlic
african cuisine (south),ginger
african cuisine (south),lamb
african cuisine (south),onions
african cuisine (south),peas
african cuisine (south),pumpkin
african cuisine (south),stews
african cuisine (south),tomatoes
african cuisine (south),turmeric
african cuisine (south),flavor affinities
african cuisine (south),lamb + chile peppers + garlic + onions
african cuisine (west),bananas
african cuisine (west),bell peppers
african cuisine (west),braised dishes
african cuisine (west),chicken
african cuisine (west),chile peppers
african cuisine (west),corn
african cuisine (west),goat
african cuisine (west),mangoes
african cuisine (west),okra
african cuisine (west),papayas
african cuisine (west),peanuts
african cuisine (west),plantains
african cuisine (west),rice
african cuisine (west),soups
african cuisine (west),stewed dishes
african cuisine (west),sweet potatoes
african cuisine (west),tomatoes
african cuisine (west),wheat
african cuisine (west),yams
african cuisine (west),flavor affinities
african cuisine (west),chile peppers + peanuts + tomatoes
allspice,season: autumn–winter
allspice,taste: sweet
allspice,weight: medium
allspice,volume: loud
allspice,tips: add early in cooking.
allspice,"beef, esp. braised, corned, grilled, ground, raw, roasted, or stewed"
allspice,"breads, esp. breakfast"
allspice,"chicken (e.g., jamaican style)"
allspice,"currants, esp. black"
allspice,"fish, esp. grilled"
allspice,"game and game birds (e.g., quail)"
allspice,"jamaican cuisine (e.g., jerk dishes)"
allspice,"meats, red, esp. braised, grilled, or roasted"
allspice,"vegetables, esp. root"
almonds,taste: sweet
almonds,botanical relatives: peaches
almonds,function: warming
almonds,weight: medium
almonds,volume: quiet
almonds,"anise, esp. green"
almonds,"cheese: goat, manchego, ricotta"
almonds,"cherries, esp. sour"
almonds,"chocolate: dark, milk"
almonds,"crust: pastry, pie"
almonds,"lemon: juice, zest"
almonds,"liqueurs, fruit (including orange)"
almonds,"orange: juice, zest"
almonds,"raisins, esp. white"
almonds,"salt: kosher, sea"
almonds,"spanish cuisine, esp. sauces"
almonds,"sugar: brown, white"
amaretto (sweet almond liqueur),almonds
amaretto (sweet almond liqueur),apricots
amaretto (sweet almond liqueur),butter
amaretto (sweet almond liqueur),cherries
amaretto (sweet almond liqueur),chocolate
amaretto (sweet almond liqueur),coffee
amaretto (sweet almond liqueur),cream
amaretto (sweet almond liqueur),hazelnuts
amaretto (sweet almond liqueur),italian cuisine
amaretto (sweet almond liqueur),peaches
amaretto (sweet almond liqueur),pork
amaretto (sweet almond liqueur),sugar
anchovies,taste: salty
anchovies,weight: light
anchovies,volume: loud
anchovies,"bell peppers, esp. roasted"
anchovies,"cheese: manchego, mozzarella, parmesan"
anchovies,"mustard (e.g., dijon)"
anchovies,"olives (e.g., black, green, niçoise)"
anchovies,"pepper: black, white"
anchovies,puttanesca sauce (key ingredient)
anchovies,"salads, esp. caesar (key ingredient)"
anchovies,"salt: kosher, sea"
anchovies,tapenade (key ingredient)
anchovies,"vinegar: champagne, red wine, sherry"
angelica,"taste: bitter, sweet"
angelica,volume: loud
angelica,tips: add late in cooking; use in baking.
angelica,"ginger: fresh, candied"
"anise (see also anise, star, and fennel)",function: warming
"anise (see also anise, star, and fennel)",weight: light–medium
"anise (see also anise, star, and fennel)",volume: moderate–loud
"anise (see also anise, star, and fennel)",tips: add early in cooking.
"anise (see also anise, star, and fennel)",allspice
"anise (see also anise, star, and fennel)",almonds
"anise (see also anise, star, and fennel)",apples
"anise (see also anise, star, and fennel)","baked goods, esp. cakes, cookies"
"anise (see also anise, star, and fennel)",beets
"anise (see also anise, star, and fennel)","breads, esp. rye"
"anise (see also anise, star, and fennel)",cabbage
"anise (see also anise, star, and fennel)",cakes
"anise (see also anise, star, and fennel)",cardamom
"anise (see also anise, star, and fennel)",carrots
"anise (see also anise, star, and fennel)",cauliflower
"anise (see also anise, star, and fennel)","cheese, esp. goat and ricotta"
"anise (see also anise, star, and fennel)",chestnuts
"anise (see also anise, star, and fennel)",chinese cuisine
"anise (see also anise, star, and fennel)",cinnamon
"anise (see also anise, star, and fennel)",cloves
"anise (see also anise, star, and fennel)",coffee
"anise (see also anise, star, and fennel)",cookies
"anise (see also anise, star, and fennel)",crab
"anise (see also anise, star, and fennel)",cream
"anise (see also anise, star, and fennel)",cumin
"anise (see also anise, star, and fennel)",dates
"anise (see also anise, star, and fennel)",desserts
"anise (see also anise, star, and fennel)",duck
"anise (see also anise, star, and fennel)",fennel seeds
"anise (see also anise, star, and fennel)",figs
"anise (see also anise, star, and fennel)",fish
"anise (see also anise, star, and fennel)",fruit
"anise (see also anise, star, and fennel)",garlic
"anise (see also anise, star, and fennel)",ginger
"anise (see also anise, star, and fennel)",hazelnuts
"anise (see also anise, star, and fennel)",lemon
"anise (see also anise, star, and fennel)",lentils
"anise (see also anise, star, and fennel)",mayonnaise
"anise (see also anise, star, and fennel)",mediterranean cuisine
"anise (see also anise, star, and fennel)",melon
"anise (see also anise, star, and fennel)",middle eastern cuisine
"anise (see also anise, star, and fennel)",mole sauce
"anise (see also anise, star, and fennel)",moroccan cuisine
"anise (see also anise, star, and fennel)",mussels
"anise (see also anise, star, and fennel)",nutmeg
"anise (see also anise, star, and fennel)",nuts
"anise (see also anise, star, and fennel)",orange
"anise (see also anise, star, and fennel)",parsnips
"anise (see also anise, star, and fennel)",peaches
"anise (see also anise, star, and fennel)",pears
"anise (see also anise, star, and fennel)",pepper
"anise (see also anise, star, and fennel)",pickles
"anise (see also anise, star, and fennel)",pineapple
"anise (see also anise, star, and fennel)",plums
"anise (see also anise, star, and fennel)",pork
"anise (see also anise, star, and fennel)",portuguese cuisine
"anise (see also anise, star, and fennel)",provençal cuisine (french)
"anise (see also anise, star, and fennel)",prunes
"anise (see also anise, star, and fennel)",pumpkin
"anise (see also anise, star, and fennel)",quince
"anise (see also anise, star, and fennel)",raisins
"anise (see also anise, star, and fennel)",rhubarb
"anise (see also anise, star, and fennel)",salumi
"anise (see also anise, star, and fennel)",sauerkraut
"anise (see also anise, star, and fennel)",scandinavian cuisine
"anise (see also anise, star, and fennel)",shellfish
"anise (see also anise, star, and fennel)","soups, esp. fish"
"anise (see also anise, star, and fennel)",star anise
"anise (see also anise, star, and fennel)","stews, esp. fish"
"anise (see also anise, star, and fennel)",strawberries
