"main","pairing"
"ACHIOTE SEEDS","beef"
"ACHIOTE SEEDS","chicken"
"ACHIOTE SEEDS","chiles"
"ACHIOTE SEEDS","citrus (e.g., sour orange)"
"ACHIOTE SEEDS","fish"
"ACHIOTE SEEDS","game birds (e.g., duck, quail)"
"ACHIOTE SEEDS","garlic"
"ACHIOTE SEEDS","Mexican cuisine, esp. Yucatán oil"
"ACHIOTE SEEDS","pork"
"ACHIOTE SEEDS","shellfish, e.g., lobster, shrimp"
"ACHIOTE SEEDS","shrimp"
"ACHIOTE SEEDS","Flavor Affinities"
"ACHIOTE SEEDS","achiote + pork + sour orange"
"AFGHAN CUISINE","almonds"
"AFGHAN CUISINE","barley"
"AFGHAN CUISINE","breads"
"AFGHAN CUISINE","cardamom"
"AFGHAN CUISINE","chile peppers"
"AFGHAN CUISINE","cinnamon"
"AFGHAN CUISINE","cloves"
"AFGHAN CUISINE","coriander"
"AFGHAN CUISINE","cucumber"
"AFGHAN CUISINE","cumin"
"AFGHAN CUISINE","dill"
"AFGHAN CUISINE","fennel"
"AFGHAN CUISINE","fruits, esp. dried"
"AFGHAN CUISINE","ginger"
"AFGHAN CUISINE","grapes"
"AFGHAN CUISINE","kebabs"
"AFGHAN CUISINE","lamb"
"AFGHAN CUISINE","mint"
"AFGHAN CUISINE","mushrooms"
"AFGHAN CUISINE","nuts, e.g., almonds"
"AFGHAN CUISINE","pasta"
"AFGHAN CUISINE","rice, basmati"
"AFGHAN CUISINE","sesame"
"AFGHAN CUISINE","tomatoes and tomato sauce"
"AFGHAN CUISINE","turmeric"
"AFGHAN CUISINE","yogurt"
"AFGHAN CUISINE","Flavor Affinities"
"AFGHAN CUISINE","almonds + cardamom + sugar"
"AFGHAN CUISINE","cucumber + mint + yogurt"
"AFRICAN CUISINE (See also Ethiopian and Moroccan","bananas"
"AFRICAN CUISINE (See also Ethiopian and Moroccan","bell peppers"
"AFRICAN CUISINE (See also Ethiopian and Moroccan","braised dishes"
"AFRICAN CUISINE (See also Ethiopian and Moroccan","chicken"
"AFRICAN CUISINE (See also Ethiopian and Moroccan","chile peppers, esp. West African"
"AFRICAN CUISINE (See also Ethiopian and Moroccan","coconut"
"AFRICAN CUISINE (See also Ethiopian and Moroccan","corn"
"AFRICAN CUISINE (See also Ethiopian and Moroccan","fish, esp. coastal"
"AFRICAN CUISINE (See also Ethiopian and Moroccan","fruits, esp. tropical"
"AFRICAN CUISINE (See also Ethiopian and Moroccan","garlic"
"AFRICAN CUISINE (See also Ethiopian and Moroccan","goat"
"AFRICAN CUISINE (See also Ethiopian and Moroccan","greens, esp. steamed or stewed"
"AFRICAN CUISINE (See also Ethiopian and Moroccan","mangoes"
"AFRICAN CUISINE (See also Ethiopian and Moroccan","melons"
"AFRICAN CUISINE (See also Ethiopian and Moroccan","okra"
"AFRICAN CUISINE (See also Ethiopian and Moroccan","onions"
"AFRICAN CUISINE (See also Ethiopian and Moroccan","papayas"
"AFRICAN CUISINE (See also Ethiopian and Moroccan","peanuts"
"AFRICAN CUISINE (See also Ethiopian and Moroccan","peas, esp. black-eyed"
"AFRICAN CUISINE (See also Ethiopian and Moroccan","plantains"
"AFRICAN CUISINE (See also Ethiopian and Moroccan","soups"
"AFRICAN CUISINE (See also Ethiopian and Moroccan","stews, esp. meat or vegetable"
"AFRICAN CUISINE (See also Ethiopian and Moroccan","sweet potatoes"
"AFRICAN CUISINE (See also Ethiopian and Moroccan","tomatoes"
"AFRICAN CUISINE (See also Ethiopian and Moroccan","watermelon"
"AFRICAN CUISINE (See also Ethiopian and Moroccan","yams, esp. West African"
"AFRICAN CUISINE (NORTH) (See also Moroccan Cuisine)","bell peppers"
"AFRICAN CUISINE (NORTH) (See also Moroccan Cuisine)","braised dishes"
"AFRICAN CUISINE (NORTH) (See also Moroccan Cuisine)","chicken"
"AFRICAN CUISINE (NORTH) (See also Moroccan Cuisine)","chickpeas"
"AFRICAN CUISINE (NORTH) (See also Moroccan Cuisine)","couscous"
"AFRICAN CUISINE (NORTH) (See also Moroccan Cuisine)","cucumbers"
"AFRICAN CUISINE (NORTH) (See also Moroccan Cuisine)","cumin"
"AFRICAN CUISINE (NORTH) (See also Moroccan Cuisine)","eggplant"
"AFRICAN CUISINE (NORTH) (See also Moroccan Cuisine)","fish"
"AFRICAN CUISINE (NORTH) (See also Moroccan Cuisine)","garlic"
"AFRICAN CUISINE (NORTH) (See also Moroccan Cuisine)","lamb"
"AFRICAN CUISINE (NORTH) (See also Moroccan Cuisine)","mint"
"AFRICAN CUISINE (NORTH) (See also Moroccan Cuisine)","parsley"
"AFRICAN CUISINE (NORTH) (See also Moroccan Cuisine)","rice"
"AFRICAN CUISINE (NORTH) (See also Moroccan Cuisine)","stewed dishes"
"AFRICAN CUISINE (NORTH) (See also Moroccan Cuisine)","tomatoes"
"AFRICAN CUISINE (NORTH) (See also Moroccan Cuisine)","wheat"
"AFRICAN CUISINE (NORTH) (See also Moroccan Cuisine)","Flavor Affinities"
"AFRICAN CUISINE (NORTH) (See also Moroccan Cuisine)","cumin + garlic + mint, esp. Northeast Africa"
"AFRICAN CUISINE (SOUTH)","beans"
"AFRICAN CUISINE (SOUTH)","carrots"
"AFRICAN CUISINE (SOUTH)","chile peppers"
"AFRICAN CUISINE (SOUTH)","cinnamon"
"AFRICAN CUISINE (SOUTH)","cloves"
"AFRICAN CUISINE (SOUTH)","fenugreek"
"AFRICAN CUISINE (SOUTH)","garlic"
"AFRICAN CUISINE (SOUTH)","ginger"
"AFRICAN CUISINE (SOUTH)","lamb"
"AFRICAN CUISINE (SOUTH)","onions"
"AFRICAN CUISINE (SOUTH)","peas"
"AFRICAN CUISINE (SOUTH)","pumpkin"
"AFRICAN CUISINE (SOUTH)","stews"
"AFRICAN CUISINE (SOUTH)","tomatoes"
"AFRICAN CUISINE (SOUTH)","turmeric"
"AFRICAN CUISINE (SOUTH)","Flavor Affinities"
"AFRICAN CUISINE (SOUTH)","lamb + chile peppers + garlic + onions"
"AFRICAN CUISINE (WEST)","bananas"
"AFRICAN CUISINE (WEST)","bell peppers"
"AFRICAN CUISINE (WEST)","braised dishes"
"AFRICAN CUISINE (WEST)","chicken"
"AFRICAN CUISINE (WEST)","chile peppers"
"AFRICAN CUISINE (WEST)","corn"
"AFRICAN CUISINE (WEST)","goat"
"AFRICAN CUISINE (WEST)","mangoes"
"AFRICAN CUISINE (WEST)","okra"
"AFRICAN CUISINE (WEST)","papayas"
"AFRICAN CUISINE (WEST)","peanuts"
"AFRICAN CUISINE (WEST)","plantains"
"AFRICAN CUISINE (WEST)","rice"
"AFRICAN CUISINE (WEST)","soups"
"AFRICAN CUISINE (WEST)","stewed dishes"
"AFRICAN CUISINE (WEST)","sweet potatoes"
"AFRICAN CUISINE (WEST)","tomatoes"
"AFRICAN CUISINE (WEST)","wheat"
"AFRICAN CUISINE (WEST)","yams"
"AFRICAN CUISINE (WEST)","Flavor Affinities"
"AFRICAN CUISINE (WEST)","chile peppers + peanuts + tomatoes"
"ALLSPICE","Season: autumn–winter"
"ALLSPICE","Taste: sweet"
"ALLSPICE","Weight: medium"
"ALLSPICE","Volume: loud"
"ALLSPICE","Tips: Add early in cooking."
"ALLSPICE","apples"
"ALLSPICE","baked goods"
"ALLSPICE","beans"
"ALLSPICE","BEEF, esp. braised, corned, grilled, ground, raw, roasted, or stewed"
"ALLSPICE","beets"
"ALLSPICE","breads, esp. breakfast"
"ALLSPICE","cabbage"
"ALLSPICE","cakes"
"ALLSPICE","Caribbean cuisine"
"ALLSPICE","carrots"
"ALLSPICE","chicken (e.g., Jamaican style)"
"ALLSPICE","chickpeas"
"ALLSPICE","chile peppers"
"ALLSPICE","cinnamon"
"ALLSPICE","cloves"
"ALLSPICE","cookies"
"ALLSPICE","coriander"
"ALLSPICE","currants, esp. black"
"ALLSPICE","curries and curry powder"
"ALLSPICE","Eastern Mediterranean cuisine"
"ALLSPICE","eggplant"
"ALLSPICE","English cuisine"
"ALLSPICE","fish, esp. grilled"
"ALLSPICE","fruits, fruit compotes, and jams"
"ALLSPICE","game and game birds (e.g., quail)"
"ALLSPICE","garlic"
